READ_EXTERNAL_STORAGE,GET_TASKS,CHANGE_WIFI_STATE,CHANGE_NETWORK_STATE,CALL_PHONE,BLUETOOTH,MANAGE_ACCOUNTS,DISABLE_KEYGUARD,RESTART_PACKAGES,ACCESS_LOCATION_EXTRA_COMMANDS,FLASHLIGHT,BROADCAST_STICKY,UNINSTALL_SHORTCUT,KILL_BACKGROUND_PROCESSES,CHANGE_CONFIGURATION,WRITE_SMS,AUTHENTICATE_ACCOUNTS,REQUEST_INSTALL_PACKAGES,GET_PACKAGE_SIZE,BATTERY_STATS,READ_CALL_LOG,EXPAND_STATUS_BAR,PACKAGE_USAGE_STATS,READ_HISTORY_BOOKMARKS,NFC,READ_PROFILE,ACCESS_MOCK_LOCATION,WRITE_CALL_LOG,WRITE_HISTORY_BOOKMARKS,SET_ALARM,USE_FINGERPRINT,ACTIVITY_RECOGNITION,WRITE_SECURE_SETTINGS,DEVICE_POWER,DELETE_PACKAGES,READ_OWNER_DATA,MANAGE_DOCUMENTS,WRITE_OWNER_DATA,BIND_ACCESSIBILITY_SERVICE,WRITE_PROFILE,FOREGROUND_SERVICE,READ_USER_DICTIONARY,CLEAR_APP_USER_DATA,UPDATE_DEVICE_STATS,WRITE_USER_DICTIONARY,PERSISTENT_ACTIVITY,SUBSCRIBED_FEEDS_WRITE,SUBSCRIBED_FEEDS_READ,BODY_SENSORS,USE_SIP,MOUNT_FORMAT_FILESYSTEMS,BIND_APPWIDGET,BROADCAST_SMS,READ_SOCIAL_STREAM,TRANSMIT_IR,ADD_VOICEMAIL,WRITE_SOCIAL_STREAM,MEDIA_CONTENT_CONTROL,ACCESS_NOTIFICATION_POLICY,BIND_NOTIFICATION_LISTENER_SERVICE,CALL_PRIVILEGED,CHANGE_COMPONENT_ENABLED_STATE,ACCOUNT_MANAGER,STATUS_BAR,ACCESS_SURFACE_FLINGER,CAPTURE_AUDIO_OUTPUT,CAPTURE_VIDEO_OUTPUT,SET_PREFERRED_APPLICATIONS,BLUETOOTH_PRIVILEGED,INJECT_EVENTS,SET_ORIENTATION,CONTROL_LOCATION_UPDATES,CAPTURE_SECURE_VIDEO_OUTPUT,INTERNAL_SYSTEM_WINDOW,BIND_DEVICE_ADMIN,BIND_WALLPAPER,HARDWARE_TEST,READ_PHONE_NUMBERS,BROADCAST_WAP_PUSH,SEND_RESPOND_VIA_MESSAGE,READ_VOICEMAIL,WRITE_VOICEMAIL,BIND_INPUT_METHOD,class
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
