Unnamed: 0,CHANGE_COMPONENT_ENABLED_STATE,DISABLE_KEYGUARD,KILL_BACKGROUND_PROCESSES,STATUS_BAR,WRITE_HISTORY_BOOKMARKS,CONTROL_LOCATION_UPDATES,DEVICE_POWER,EXPAND_STATUS_BAR,FLASHLIGHT,READ_USER_DICTIONARY,SET_ORIENTATION,SET_TIME,WRITE_USER_DICTIONARY,class
93159,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9336,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107518,0,0,0,0,1,0,0,0,0,0,0,0,0,1
119786,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95813,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126606,0,0,0,0,0,0,0,0,0,0,0,0,0,1
37128,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50559,0,0,0,0,0,0,0,0,0,0,0,0,0,1
95814,0,0,0,0,1,0,0,0,0,0,0,0,0,1
39990,0,0,0,0,0,0,0,0,0,0,0,0,0,1
66882,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72131,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157976,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92020,0,0,0,0,0,0,0,0,0,0,0,0,0,1
84004,0,1,1,0,1,0,0,0,0,0,0,0,0,0
129353,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43856,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2441,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121246,0,0,0,0,0,0,0,0,0,0,0,0,0,1
136173,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33488,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149209,0,0,0,0,0,0,0,0,0,0,0,0,0,1
29126,0,0,0,1,0,0,0,0,0,0,0,0,0,1
113510,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33667,0,0,0,0,0,0,0,0,0,0,0,0,0,1
21165,0,0,0,0,0,0,0,0,0,0,0,0,0,1
47049,0,0,0,0,0,0,0,0,0,0,0,0,0,1
157897,0,0,0,0,1,0,0,0,0,0,0,0,0,1
48013,0,0,0,0,0,0,0,0,0,0,0,0,0,1
128518,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75050,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138199,0,0,0,0,0,0,0,0,0,0,0,0,0,1
37053,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56605,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107586,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82852,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67157,0,0,0,0,1,0,0,0,0,0,0,0,0,1
83979,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158490,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48381,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14873,0,0,0,0,0,0,0,0,0,0,0,0,0,1
27208,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114269,0,0,0,0,0,0,0,0,0,0,0,0,0,1
35572,0,0,0,0,0,0,0,0,0,0,0,0,0,1
