ACCESS_NETWORK_STATE,WRITE_EXTERNAL_STORAGE,READ_PHONE_STATE,WAKE_LOCK,ACCESS_WIFI_STATE,VIBRATE,RECEIVE_BOOT_COMPLETED,GET_ACCOUNTS,ACCESS_FINE_LOCATION,ACCESS_COARSE_LOCATION,READ_CONTACTS,GET_TASKS,WRITE_SETTINGS,CAMERA,READ_SMS,READ_EXTERNAL_STORAGE,SEND_SMS,CALL_PHONE,RECEIVE_SMS,RECORD_AUDIO,READ_HISTORY_BOOKMARKS,BLUETOOTH,READ_SYNC_SETTINGS,CHANGE_NETWORK_STATE,WRITE_HISTORY_BOOKMARKS,WRITE_SYNC_SETTINGS,WRITE_SMS,READ_LOGS,MODIFY_AUDIO_SETTINGS,SYSTEM_ALERT_WINDOW,DISABLE_KEYGUARD,AUTHENTICATE_ACCOUNTS,SET_WALLPAPER,RESTART_PACKAGES,BLUETOOTH_ADMIN,BROADCAST_STICKY,ACCESS_LOCATION_EXTRA_COMMANDS,INSTALL_PACKAGES,NFC,KILL_BACKGROUND_PROCESSES,READ_CALENDAR,WRITE_SECURE_SETTINGS,WRITE_CALENDAR,MOUNT_UNMOUNT_FILESYSTEMS,READ_SYNC_STATS,FLASHLIGHT,WRITE_APN_SETTINGS,BIND_WALLPAPER,STATUS_BAR,PROCESS_OUTGOING_CALLS,MODIFY_PHONE_STATE,GLOBAL_SEARCH,CHANGE_CONFIGURATION,DELETE_PACKAGES,BATTERY_STATS,DEVICE_POWER,EXPAND_STATUS_BAR,ACCESS_MOCK_LOCATION,BIND_DEVICE_ADMIN,GET_PACKAGE_SIZE,CHANGE_WIFI_MULTICAST_STATE,CLEAR_APP_USER_DATA,REBOOT,CLEAR_APP_CACHE,SUBSCRIBED_FEEDS_READ,RECEIVE_MMS,SUBSCRIBED_FEEDS_WRITE,SET_WALLPAPER_HINTS,MASTER_CLEAR,REORDER_TASKS,BIND_INPUT_METHOD,BROADCAST_SMS,CALL_PRIVILEGED,RECEIVE_WAP_PUSH,SET_PREFERRED_APPLICATIONS,CHANGE_COMPONENT_ENABLED_STATE,READ_USER_DICTIONARY,PERSISTENT_ACTIVITY,SET_ORIENTATION,UPDATE_DEVICE_STATS,BROADCAST_WAP_PUSH,READ_FRAME_BUFFER,DELETE_CACHE_FILES,HARDWARE_TEST,BIND_APPWIDGET,DUMP,class
1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
