READ_PHONE_STATE,WAKE_LOCK,ACCESS_COARSE_LOCATION,ACCESS_FINE_LOCATION,VIBRATE,RECEIVE_BOOT_COMPLETED,GET_TASKS,SYSTEM_ALERT_WINDOW,READ_EXTERNAL_STORAGE,CHANGE_WIFI_STATE,READ_CONTACTS,GET_ACCOUNTS,SEND_SMS,WRITE_SETTINGS,RECEIVE_SMS,CAMERA,MOUNT_UNMOUNT_FILESYSTEMS,CALL_PHONE,READ_SMS,CHANGE_NETWORK_STATE,READ_LOGS,RECORD_AUDIO,RESTART_PACKAGES,DISABLE_KEYGUARD,BLUETOOTH,INSTALL_PACKAGES,ACCESS_LOCATION_EXTRA_COMMANDS,MODIFY_AUDIO_SETTINGS,WRITE_CONTACTS,SET_WALLPAPER,KILL_BACKGROUND_PROCESSES,BLUETOOTH_ADMIN,PROCESS_OUTGOING_CALLS,CHANGE_CONFIGURATION,BROADCAST_STICKY,WRITE_APN_SETTINGS,FOREGROUND_SERVICE,RECEIVE_MMS,READ_CALENDAR,READ_CALL_LOG,BROADCAST_SMS,WRITE_SYNC_SETTINGS,GET_PACKAGE_SIZE,MODIFY_PHONE_STATE,READ_SYNC_SETTINGS,BIND_DEVICE_ADMIN,CLEAR_APP_CACHE,WRITE_CALENDAR,WRITE_SECURE_SETTINGS,BIND_WALLPAPER,BATTERY_STATS,RECEIVE_WAP_PUSH,CHANGE_WIFI_MULTICAST_STATE,EXPAND_STATUS_BAR,USE_FINGERPRINT,NFC,PACKAGE_USAGE_STATS,BIND_REMOTEVIEWS,BIND_ACCESSIBILITY_SERVICE,DELETE_PACKAGES,SET_WALLPAPER_HINTS,REORDER_TASKS,REQUEST_INSTALL_PACKAGES,BIND_NOTIFICATION_LISTENER_SERVICE,READ_SYNC_STATS,BROADCAST_WAP_PUSH,WRITE_CALL_LOG,SEND_RESPOND_VIA_MESSAGE,CALL_PRIVILEGED,BIND_QUICK_SETTINGS_TILE,REQUEST_IGNORE_BATTERY_OPTIMIZATIONS,BIND_INPUT_METHOD,UPDATE_DEVICE_STATS,PERSISTENT_ACTIVITY,SET_PREFERRED_APPLICATIONS,BIND_VPN_SERVICE,DELETE_CACHE_FILES,ACCESS_NOTIFICATION_POLICY,BIND_APPWIDGET,STATUS_BAR,MANAGE_DOCUMENTS,BIND_CHOOSER_TARGET_SERVICE,CONTROL_LOCATION_UPDATES,MOUNT_FORMAT_FILESYSTEMS,REBOOT,DUMP,CHANGE_COMPONENT_ENABLED_STATE,GLOBAL_SEARCH,DIAGNOSTIC,MEDIA_CONTENT_CONTROL,SET_TIME_ZONE,ACCOUNT_MANAGER,REQUEST_DELETE_PACKAGES,ACCESS_BACKGROUND_LOCATION,SET_DEBUG_APP,USE_SIP,BODY_SENSORS,ACCESS_CHECKIN_PROPERTIES,INSTALL_SHORTCUT,TRANSMIT_IR,USE_FULL_SCREEN_INTENT,BROADCAST_PACKAGE_REMOVED,ANSWER_PHONE_CALLS,SET_ANIMATION_SCALE,SET_ALARM,BLUETOOTH_PRIVILEGED,BIND_NFC_SERVICE,SET_TIME,SIGNAL_PERSISTENT_PROCESSES,INSTALL_LOCATION_PROVIDER,CAPTURE_AUDIO_OUTPUT,READ_INPUT_STATE,GET_ACCOUNTS_PRIVILEGED,MASTER_CLEAR,MANAGE_OWN_CALLS,FACTORY_TEST,SET_PROCESS_LIMIT,WRITE_GSERVICES,SET_ALWAYS_FINISH,BIND_PRINT_SERVICE,READ_PHONE_NUMBERS,UNINSTALL_SHORTCUT,BIND_TEXT_SERVICE,Class
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,1,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
